| Feature        | Options                   | Code |
| -------------- | ------------------------- | ---- |
| Learning Style | Visual                    | 0    |
|                | Reading/Writing           | 1    |
|                | Auditory                  | 2    |
|                | Kinesthetic               | 3    |
| Motivation     | Gamer / Challenge         | 0    |
|                | Visual / Diagrams         | 1    |
|                | Technical / Skills        | 2    |
|                | Story-driven              | 3    |
| Environment    | Interactive / Competitive | 0    |
|                | Visual notes / Quiet      | 1    |
|                | Step-by-step / Structured | 2    |
|                | Story-driven examples     | 3    |
